Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_min,feature_hdil_max,feature_hdil_median,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
prnn_fglass-952.arff,9,6,214,0.00000000,0.00000000,0.00000000,4.47981100,0.00000000,1.23466010,2.56447620,0.00000000,0.56618820,0.41235000,0.20333300,-0.93233560,0.00000000,0.56618820,0.41235000,0.19289860,-0.78372640,0.61271860,0.61846470,0.61955000,0.61955000,0.61024770,0.60465120,0.61024770
emotions-40589.arff,77,2,593,0.00000000,0.00000000,0.00000000,38.20342140,0.00000000,11.74511390,2.88794720,0.00000000,0.27409170,0.03581750,0.06936380,1.00424630,0.00000000,0.27409170,0.03581750,0.06891780,0.98482540,0.58631760,0.58851550,0.58609690,0.58712840,0.59020150,0.58837730,0.59424260
meta-757.arff,21,2,528,0.00000000,0.00000000,0.00000000,10.48348200,0.00000000,2.55453970,3.46239720,0.00000000,0.11792150,0.04881010,0.03373520,0.46917280,0.00000000,0.11792150,0.04881010,0.03295960,0.43645840,0.60455640,0.61056850,0.60866710,0.59810430,0.59810430,0.60470600,0.59810430
kc1-top5-1045.arff,94,2,145,0.00000000,0.00000000,0.00000000,46.97643320,0.00000000,10.50424980,4.47213600,0.00000000,0.13744400,0.00000000,0.04816720,0.67634650,0.00000000,0.13744400,0.00000000,0.04791310,0.66561860,0.60002680,0.60257530,0.60108170,0.60689660,0.60000000,0.59972150,0.60000000
colic-27.arff,22,2,368,0.00000000,0.00000000,0.00000000,10.73248290,0.00000000,3.66719500,2.16538700,0.00000000,0.28401010,0.02724860,0.06328140,2.64731900,0.00000000,0.28401010,0.02724860,0.06189050,2.47095300,0.62846210,0.62747120,0.62560420,0.62992860,0.62864440,0.61142760,0.61093430
fri_c4_500_100-742.arff,100,2,500,0.00000000,0.00000000,0.00000000,49.97668710,0.00000000,18.02054080,2.12378730,0.00000000,0.39014730,0.00000000,0.04547430,7.34742080,0.00000000,0.39014730,0.00000000,0.04524870,7.23783280,0.74747090,0.65616170,0.66483900,0.71173850,0.74747090,0.74747090,0.74747090
credit-approval-29.arff,15,2,690,0.00000000,0.00000000,0.00000000,7.02203710,0.00000000,2.62818510,1.69049760,0.00042270,0.42570940,0.04945590,0.11130250,2.20053570,0.00042270,0.42570940,0.04945590,0.10776810,1.98734160,0.61765930,0.61796570,0.61886070,0.61830360,0.61739130,0.61739130,0.61739130
kc1-binary-1066.arff,94,2,145,0.00000000,0.00000000,0.00000000,46.95267130,0.00000000,16.89993930,2.12420830,0.00000000,0.32736740,0.22281460,0.12176970,-0.44502990,0.00000000,0.32736740,0.22281460,0.12112710,-0.43797100,0.62243410,0.64034480,0.63919070,0.63448280,0.60879600,0.60661800,0.60375340
bridges-1007.arff,12,2,107,0.00000000,0.00000000,0.00000000,5.88803850,0.00000000,2.33035050,1.18228780,0.00000000,0.97713400,0.12724940,0.28329640,2.00846430,0.00000000,0.97713400,0.12724940,0.27218240,1.76659940,0.74111290,0.74615250,0.74625000,0.74625000,0.71834310,0.63680260,0.73953490
dresses-sales-23381.arff,12,2,500,0.00000000,0.00000000,0.00000000,5.95495840,0.00000000,1.96110800,2.16191530,0.00000000,0.05042730,0.02060980,0.01683900,0.25006280,0.00000000,0.05042730,0.02060980,0.01617840,0.21994960,0.62642380,0.62597720,0.62422320,0.62741280,0.59341280,0.62600000,0.62600000
schizo-466.arff,14,2,340,0.00000000,0.00000000,0.00000000,6.92707820,0.00000000,2.06797860,2.38140280,0.00000000,0.45641020,0.00000000,0.12121940,3.69275570,0.00000000,0.45641020,0.00000000,0.11710900,3.31008950,0.68823530,0.66363370,0.68823530,0.68823530,0.60372930,0.68823530,0.59705880
fri_c4_1000_10-751.arff,10,2,1000,0.00000000,0.00000000,0.00000000,4.88239640,0.00000000,1.69958390,1.79710750,0.00000000,0.35226490,0.00000000,0.12462610,1.84795570,0.00000000,0.35226490,0.00000000,0.11882630,1.58216520,0.66041650,0.65986390,0.66057670,0.66057670,0.66057670,0.66057670,0.66057670
backache-463.arff,32,2,180,0.00000000,0.00000000,0.00000000,15.97950880,0.00000000,4.98340200,2.35315650,0.00000000,0.06095310,0.00388700,0.01745610,1.25817150,0.00000000,0.06095310,0.00388700,0.01718960,1.20016830,0.61550020,0.61550540,0.61464530,0.60555560,0.60726710,0.60469880,0.61025440
TuningSVMs-41977.arff,91,2,156,0.00000000,0.00000000,0.00000000,45.43968010,0.00000000,16.37441200,2.12508480,0.00000000,0.95204030,0.00000000,0.10980200,6.75699420,0.00000000,0.95204030,0.00000000,0.10920360,6.64630520,0.65344130,0.67514330,0.67280060,0.67741930,0.63466280,0.62492000,0.64966810
dataset-autoHorse_fixed-42223.arff,68,186,201,0.00000000,0.00000000,0.00000000,33.97658580,0.00000000,7.59739550,4.47213600,0.00000000,5.65552240,0.00000000,1.77452340,1.36500090,0.00000000,5.65552240,0.00000000,1.76161760,1.33513740,0.60486160,0.60415560,0.59932840,0.60000000,0.60000000,0.60420940,0.60000000
fri_c0_100_50-850.arff,50,2,100,0.00000000,0.00000000,0.00000000,24.95164330,0.00000000,10.24385780,1.29972570,0.00000000,0.15824920,0.00000000,0.03022050,4.85273840,0.00000000,0.15824920,0.00000000,0.02992270,4.70875150,0.67107690,0.69536810,0.74267170,0.66000000,0.67415090,0.64946540,0.64946540
cleve-40710.arff,13,2,303,0.00000000,0.00000000,0.00000000,6.41918140,0.00000000,2.05237650,2.26811000,0.00000000,0.21325070,0.11683380,0.07980300,0.01463350,0.00000000,0.21325070,0.11683380,0.07690010,0.01300350,0.59075140,0.59022780,0.58541520,0.59103810,0.56558040,0.56835590,0.57812930
fri_c0_500_25-926.arff,25,2,500,0.00000000,0.00000000,0.00000000,12.30558940,0.00000000,4.42349910,1.79133980,0.00000000,0.15226300,0.00000000,0.04104550,2.25807560,0.00000000,0.15226300,0.00000000,0.04024840,2.12537200,0.64651430,0.64228860,0.63117300,0.65080220,0.64164970,0.64629420,0.64680220
fri_c4_1000_50-797.arff,50,2,1000,0.00000000,0.00000000,0.00000000,24.94972400,0.00000000,8.64420090,2.13978800,0.00000000,0.36134270,0.00000000,0.06367840,4.77106730,0.00000000,0.36134270,0.00000000,0.06305100,4.62950370,0.72481890,0.68005410,0.66264370,0.72870230,0.72490510,0.72231780,0.72490510
dermatology-1010.arff,34,2,366,0.00000000,0.00000000,0.00000000,16.94862950,0.00000000,4.98465610,2.90167200,0.00000000,0.78209640,0.11365120,0.20464570,1.60357500,0.00000000,0.78209640,0.11365120,0.20170100,1.53393490,0.59997320,0.59758420,0.59642290,0.60000000,0.59645730,0.59645730,0.60000000
dermatology-35.arff,34,6,366,0.00000000,0.00000000,0.00000000,16.90927130,0.00000000,5.96326780,2.12921700,0.09328060,0.86312690,0.42703070,0.22882240,0.06461060,0.09328060,0.86312690,0.42703070,0.22552980,0.06180460,0.59089910,0.59246700,0.59640190,0.60358060,0.56988940,0.55526160,0.56896020
fri_c1_1000_50-837.arff,50,2,1000,0.00000000,0.00000000,0.00000000,24.97013650,0.00000000,8.73739000,2.13000810,0.00000000,0.33401660,0.00000000,0.06034800,4.71714630,0.00000000,0.33401660,0.00000000,0.05975340,4.57718260,0.73790510,0.67626880,0.64347960,0.72531780,0.73790510,0.73790510,0.73790510
echoMonths-944.arff,9,2,130,0.00000000,0.00000000,0.00000000,4.29414740,0.00000000,1.54653830,1.77181760,0.00000000,0.33835930,0.01159490,0.10952920,2.24976590,0.00000000,0.33835930,0.01159490,0.10390850,1.89116550,0.61538460,0.61390870,0.61538460,0.61538460,0.61538460,0.61538460,0.61538460
flags-285.arff,29,8,194,0.00000000,0.00000000,0.00000000,14.28300750,0.00000000,5.41243270,1.66329560,0.00000000,2.32168340,0.12810520,0.43483470,4.14743800,0.00000000,2.32168340,0.12810520,0.42752610,3.93678170,0.63348540,0.64461670,0.63258540,0.62878290,0.62880970,0.61339830,0.63278850
heart-c-49.arff,13,5,303,0.00000000,0.00000000,0.00000000,6.25328950,0.00000000,1.91623840,2.88805760,0.00000000,0.21162780,0.11683380,0.07829800,0.00337710,0.00000000,0.21162780,0.11683380,0.07544980,0.00300090,0.59576540,0.59981320,0.59796400,0.59480220,0.58919780,0.58919780,0.59250360
thoracic-surgery-1506.arff,16,2,470,0.00000000,0.00000000,0.00000000,7.96319210,0.00000000,2.45547700,2.39934590,0.00000000,0.02428420,0.00392360,0.00715830,1.89527360,0.00000000,0.02428420,0.00392360,0.00694450,1.72286280,0.60870010,0.60967870,0.60879480,0.61063830,0.60851060,0.59813480,0.59787240
eucalyptus-990.arff,19,2,736,0.00000000,0.00000000,0.00000000,9.44047580,0.00000000,3.52945750,1.68343770,0.00000000,0.16438370,0.06640770,0.04995980,0.25261920,0.00000000,0.16438370,0.06640770,0.04869480,0.23319140,0.64161200,0.65264040,0.64446910,0.65254290,0.63673470,0.63673470,0.63673470
fri_c1_1000_25-917.arff,25,2,1000,0.00000000,0.00000000,0.00000000,12.46204990,0.00000000,4.26160740,2.13838190,0.00000000,0.30945340,0.00000000,0.08287370,3.14722040,0.00000000,0.30945340,0.00000000,0.08126430,2.96226310,0.70564970,0.70620930,0.64836290,0.71329420,0.70564970,0.70564970,0.70564970
pbc-810.arff,18,2,418,0.00000000,0.00000000,0.00000000,8.93470650,0.00000000,3.11488050,2.13036660,0.00000000,0.14852870,0.02101470,0.03976730,1.73655700,0.00000000,0.14852870,0.02101470,0.03870670,1.59575500,0.64320710,0.66056110,0.63754360,0.67185630,0.58846260,0.60958080,0.59654300
autos-975.arff,25,2,205,0.00000000,0.00000000,0.00000000,12.35456260,0.00000000,4.79618100,1.64482850,0.00000000,0.33491230,0.02953710,0.08147380,1.72539100,0.00000000,0.33491230,0.02953710,0.07989160,1.62399240,0.71822590,0.73010600,0.70424620,0.70243900,0.66717390,0.70243900,0.68180800
robot-failures-lp4-1519.arff,90,3,117,0.00000000,0.00000000,0.00000000,44.87975400,0.00000000,15.72152790,2.14356000,0.00000000,0.59798710,0.40363070,0.11612150,-0.60037260,0.00000000,0.59798710,0.40363070,0.11548170,-0.59042910,0.80013540,0.72852890,0.63132200,0.80425530,0.77872340,0.57446810,0.77872340
mw1-1071.arff,37,2,403,0.00000000,0.00000000,0.00000000,18.46952420,0.00000000,4.70776040,3.21892750,0.00000000,0.08681590,0.04890010,0.02995780,-0.29834310,0.00000000,0.08681590,0.04890010,0.02956090,-0.28642320,0.60095220,0.60475500,0.60225560,0.60345270,0.59678160,0.59599930,0.60593710
TuningSVMs-41976.arff,81,2,156,0.00000000,0.00000000,0.00000000,40.44430130,0.00000000,14.52880920,2.12559680,0.00000000,0.93058610,0.00000000,0.10802140,7.63766510,0.00000000,0.93058610,0.00000000,0.10736080,7.49720710,0.65599430,0.67519490,0.68798830,0.69611580,0.63006210,0.63225800,0.64989310
usp05-1047.arff,16,11,203,0.00000000,0.00000000,0.00000000,7.89039880,0.00000000,2.87447070,1.73890820,0.12473550,1.86075160,0.74461940,0.54850530,0.28029800,0.12473550,1.86075160,0.74461940,0.53212830,0.25479960,0.63708950,0.63198290,0.62020910,0.63766270,0.58554900,0.61527080,0.57868630
autoUniv-au7-1100-1552.arff,12,5,1100,0.00000000,0.00000000,0.00000000,5.86383510,0.00000000,1.81757830,2.29682790,0.00000000,0.07801870,0.00400590,0.02971280,1.10644350,0.00000000,0.07801870,0.00400590,0.02854710,0.97320240,0.64195830,0.64008450,0.63604140,0.64195830,0.64181820,0.64181820,0.63604140
pwLinear-721.arff,10,2,200,0.00000000,0.00000000,0.00000000,4.71470220,0.00000000,1.77285440,1.66185470,0.00000000,0.34198370,0.00000000,0.10873550,2.65313650,0.00000000,0.34198370,0.00000000,0.10367520,2.27153720,0.59500000,0.59528140,0.59500000,0.59500000,0.59500000,0.59500000,0.59500000
lymph-10.arff,18,4,148,0.00000000,0.00000000,0.00000000,8.92899510,0.00000000,3.05539140,2.15971100,0.02912000,0.40188390,0.14434210,0.08678300,1.48824560,0.02912000,0.40188390,0.14434210,0.08446830,1.36757690,0.58994930,0.59940200,0.59962670,0.59654300,0.58246010,0.57804940,0.57845100
leaf-1482.arff,15,30,340,0.00000000,0.00000000,0.00000000,7.48424850,0.00000000,1.91937230,2.87558400,0.00000000,1.90726690,1.17337740,0.58317790,-0.32923140,0.00000000,1.90726690,1.17337740,0.56465960,-0.29733450,0.60570330,0.60661750,0.60683720,0.60683720,0.60155460,0.60389600,0.60389600
fri_c1_500_10-824.arff,10,2,500,0.00000000,0.00000000,0.00000000,4.90991690,0.00000000,1.73239220,1.55689350,0.00000000,0.37901040,0.00000000,0.13687070,1.82101950,0.00000000,0.37901040,0.00000000,0.13050110,1.55910320,0.67676050,0.67895930,0.64657670,0.67276060,0.67257670,0.67257670,0.67257670
auto_price-745.arff,15,2,159,0.00000000,0.00000000,0.00000000,7.36872880,0.00000000,2.78275050,1.47891930,0.00000000,0.69264920,0.60091050,0.27777640,-0.53188630,0.00000000,0.69264920,0.60091050,0.26895580,-0.48035560,0.71262820,0.71296680,0.71442230,0.71250000,0.71442230,0.69916230,0.65097470
molecular-biology_promoters-956.arff,58,2,106,0.00000000,0.00000000,0.00000000,28.88351600,0.00000000,11.43848170,1.63188130,0.00081130,0.90520030,0.02124020,0.11715300,7.25647130,0.00081130,0.90520030,0.02124020,0.11615590,7.07059240,0.64598240,0.65702390,0.64964150,0.66620860,0.58968610,0.61904760,0.59576110
fri_c0_500_50-888.arff,50,2,500,0.00000000,0.00000000,0.00000000,24.89630900,0.00000000,9.14956800,1.76093640,0.00000000,0.19224560,0.00000000,0.03290350,4.43474700,0.00000000,0.19224560,0.00000000,0.03257930,4.30316250,0.66101320,0.63443950,0.62997720,0.67370230,0.65631780,0.65631780,0.65631780
fri_c3_250_25-832.arff,25,2,250,0.00000000,0.00000000,0.00000000,12.46133700,0.00000000,4.30983170,2.14233330,0.00000000,0.39128510,0.00000000,0.09279520,3.40113960,0.00000000,0.39128510,0.00000000,0.09099320,3.20125980,0.70502410,0.68942660,0.70680220,0.70564970,0.70564970,0.68688120,0.70564970
fri_c0_250_25-773.arff,25,2,250,0.00000000,0.00000000,0.00000000,12.32209680,0.00000000,4.58760330,1.67806880,0.00000000,0.14759080,0.00000000,0.04088950,2.11290140,0.00000000,0.14759080,0.00000000,0.04009550,1.98872940,0.66302630,0.67071120,0.65135250,0.68916000,0.65880220,0.65880220,0.64029420
fri_c1_100_25-812.arff,25,2,100,0.00000000,0.00000000,0.00000000,12.36904120,0.00000000,4.86488110,1.63444920,0.00000000,0.43205820,0.00000000,0.11208270,3.32878520,0.00000000,0.43205820,0.00000000,0.10990610,3.13315760,0.66823060,0.66544760,0.65476250,0.68764970,0.63764970,0.66888120,0.66888120
water-treatment-940.arff,38,2,527,0.00000000,0.00000000,0.00000000,18.97268180,0.00000000,5.30500480,2.95644500,0.00000000,0.61433310,0.06476820,0.19314560,1.00085340,0.00000000,0.61433310,0.06476820,0.19065330,0.96190420,0.61137440,0.61106170,0.60720430,0.61137440,0.58672990,0.61137440,0.61066100
heart-h-963.arff,13,2,294,0.00000000,0.00000000,0.00000000,6.47144180,0.00000000,1.70609830,3.09286680,0.00000000,0.25393350,0.01737220,0.10098210,1.27047230,0.00000000,0.25393350,0.01737220,0.09730880,1.12895620,0.60000000,0.60000000,0.60000000,0.60000000,0.60000000,0.60000000,0.60000000
fri_c1_100_50-876.arff,50,2,100,0.00000000,0.00000000,0.00000000,24.90386230,0.00000000,10.00002690,1.62715650,0.00000000,0.18718580,0.00000000,0.02647210,7.07106780,0.00000000,0.18718580,0.00000000,0.02621130,6.86126030,0.68698120,0.71296010,0.71267170,0.74946540,0.66620320,0.67770230,0.66000000
fri_c2_500_50-920.arff,50,2,500,0.00000000,0.00000000,0.00000000,24.95662790,0.00000000,8.88443090,2.12545880,0.00000000,0.46331830,0.00000000,0.08482730,4.81396460,0.00000000,0.46331830,0.00000000,0.08399150,4.67112820,0.72946540,0.68673700,0.67765890,0.73090510,0.72946540,0.72946540,0.72946540